nodePartenza,NameNft,Hop,NumeroNodi,repliche,KsizeBucket,time_ms,alpha
node31,Shipsgrave,3,40,0,3,5,5
node13,SPL Cards | Regular,1,40,0,3,1,5
node5,Soliens,4,40,0,3,6,5
node40,Grizzly Lifting University,2,40,0,3,3,5
node30,E.V.E,3,40,0,3,5,5
node3,New World,2,40,0,3,3,5
node23,SPACE KITTIES vol.2,2,40,0,3,2,5
node6,MiniMecha,1,40,0,3,1,5
node8,Space Rex Squad,1,40,0,3,1,5
node22,Buddy Bullies,3,40,0,3,4,5
node34,Ai Drawing Stuff,3,40,0,3,5,5
node8,Solanian Artifacts,1,40,0,3,1,5
node12,CATPUNK OG PASS,3,40,0,3,4,5
node11,Boryoku Robotz,2,40,0,3,2,5
node25,UniqueBlocks,2,40,0,3,2,5
node19,SkellyGangNFT,3,40,0,3,5,5
node27,Sol T-Shirt,3,40,0,3,6,5
node23,Abstratica,2,40,0,3,3,5
node10,FRAKT,2,40,0,3,3,5
node37,AI Bliss,3,40,0,3,5,5
node33,CATPUNK,3,40,0,3,5,5
node13,HTownPunks NFT,3,40,0,3,4,5
node11,Fidenza Apes,2,40,0,3,3,5
node7,Order of the Skulls,2,40,0,3,2,5
node16,419,2,40,0,3,2,5
node32,Sol Yetis,3,40,0,3,4,5
node12,Lost Souls,2,40,0,3,2,5
node27,Coollama Gang,3,40,0,3,4,5
node23,ColorFaces,3,40,0,3,5,5
node35,CyberGothica — GEN#1,3,40,0,3,5,5
node40,SolCelebs,3,40,0,3,5,5
node32,Owie Collection,2,40,0,3,2,5
node14,Solfighters,3,40,0,3,4,5
node5,Generous Giraffes,2,40,0,3,3,5
node30,Hokkaidō Frogz,2,40,0,3,2,5
node21,SolKitty Family,2,40,0,3,3,5
node38,Epic Arcades,3,40,0,3,5,5
node36,PsychedelicCreatures,3,40,0,3,5,5
node28,Helium Heads,2,40,0,3,2,5
node21,Adrenaline Ghosts,2,40,0,3,3,5
node17,Professor NFTs,3,40,0,3,4,5
node39,RandomPunks,2,40,0,3,2,5
node8,SOLDOGES NFT,2,40,0,3,3,5
node8,The Solarians,3,40,0,3,5,5
node18,NFT Mint Watch,2,40,0,3,3,5
node25,AutoSol,2,40,0,3,2,5
node3,Mycelium's Journey,2,40,0,3,3,5
node11,Chrome Girls,3,40,0,3,4,5
node16,Syndicate Premium,2,40,0,3,3,5
node24,Dash'ns,3,40,0,3,8,5
node27,Froggos,3,40,0,3,8,5
node8,SolaMouse,3,40,0,3,9,5
node9,PandaPalsSOL,3,40,0,3,8,5
node18,SOLANA MINING PUNKS,3,40,0,3,9,5
node32,Bud Head Community,3,40,0,3,7,5
node24,Famous hot dog club,3,40,0,3,8,5
node5,Vegan Monsters,2,40,0,3,3,5
node29,Strange Punks,3,40,0,3,5,5
node36,Ghetto $eal,4,40,0,3,6,5
node8,Ambrosians,3,40,0,3,7,5
node8,SOLANA LEMONS,2,40,0,3,3,5
node25,Strainz for the Sol,2,40,0,3,3,5
node36,Sirius Portals,2,40,0,3,2,5
node35,Weed Park,2,40,0,3,3,5
node13,Angry Charlie,3,40,0,3,4,5
node3,Hood Cats,2,40,0,3,3,5
node24,MiniBots,3,40,0,3,4,5
node28,SolPresidents,2,40,0,3,2,5
node11,SOl EGGS,2,40,0,3,3,5
node4,Mighty Martians,3,40,0,3,5,5
node26,Matrix Genesis,2,40,0,3,2,5
node34,Fallen Traveler,2,40,0,3,3,5
node14,School of Hairy Apes,3,40,0,3,4,5
node19,Ghostly Sols,3,40,0,3,5,5
node15,The Abyss,3,40,0,3,5,5
node19,Solmech Warriors,2,40,0,3,2,5
node23,King-Z Collection,2,40,0,3,3,5
node36,Mechs of Solana,4,40,0,3,6,5
node15,NegativePunks,3,40,0,3,5,5
node29,SolswornNFT,2,40,0,3,3,5
node36,SpreadsheetPunks,2,40,0,3,2,5
node32,Baby Wukongs,3,40,0,3,5,5
node3,Soldudes,2,40,0,3,2,5
node37,Soul Dogs,1,40,0,3,1,5
node39,Cheems Cards,3,40,0,3,4,5
node34,Voxel Animal Kingdom,1,40,0,3,1,5
node8,Oppa Squad,2,40,0,3,2,5
node31,Mafia vs Police,2,40,0,3,2,5
node6,Soldiers,1,40,0,3,1,5
node20,Crypto Papayas,2,40,0,3,2,5
node21,HEADspace,1,40,0,3,1,5
node15,NBA Trading Cards,2,40,0,3,3,5
node33,Super Sol-Diers,2,40,0,3,2,5
node2,stylized Animals,3,40,0,3,5,5
node38,PIKA Kingdom,2,40,0,3,3,5
node28,The Greatest Minds,2,40,0,3,3,5
node37,Non-ChickenWing,3,40,0,3,5,5
node21,Lion Punks,2,40,0,3,3,5
node33,Joylina's Cantina S1,3,40,0,3,5,5
node40,Angomon,3,40,0,3,4,5
node18,Flappyz,2,40,0,3,2,5
node20,Soldiers Solarmy #19,2,40,0,3,2,5
node15,Taliesin Fellowship,2,40,0,3,4,5
node1,Line Punks,-1,40,0,3,0,5
node5,Doodle Charts,2,40,0,3,2,5
node9,Zoolana,3,40,0,3,4,5
node25,Settlers of the Metaverse,3,40,0,3,4,5
node18,Sneaky Mice House,2,40,0,3,3,5
node23,Zombie Doges,2,40,0,3,3,5
node37,B&W,3,40,0,3,4,5
node37,The Ugly Ducklings,2,40,0,3,3,5
node8,Solanum Nigrum,3,40,0,3,4,5
node29,Solana Bullz,2,40,0,3,2,5
node2,Flokiverse,3,40,0,3,4,5
node28,The Baby Bulls,2,40,0,3,3,5
node9,PABLO PUNKS,3,40,0,3,5,5
node15,LVD,2,40,0,3,3,5
node13,BULBUL's DAO,2,40,0,3,2,5
node14,Hoshoku Kaiju,2,40,0,3,2,5
node16,Solbots,3,40,0,3,3,5
node38,Gods Of Solana,3,40,0,3,4,5
node15,Degen Lady Ape,2,40,0,3,2,5
node27,11:11 For Change,4,40,0,3,6,5
node20,WOOF Gen Art Series,2,40,0,3,2,5
node3,SolBouncer,2,40,0,3,3,5
node6,Doodled Dragons [RUG],2,40,0,3,2,5
node35,Digital Arts,3,40,0,3,4,5
node33,00RR0R,2,40,0,3,3,5
node3,Bothered Otters,2,40,0,3,3,5
node11,Surreal Genesis,2,40,0,3,3,5
node37,Cryptography Punks,1,40,0,3,1,5
node28,Gori Gorilla,3,40,0,3,5,5
node17,IN-ca-HOOTs,3,40,0,3,4,5
node25,Bad Bromatoes NFT,3,40,0,3,5,5
node35,DegenZ,3,40,0,3,4,5
node32,Bounty Hunter Space Guild Cache,2,40,0,3,2,5
node35,Solana MutantPunks,3,40,0,3,4,5
node9,META OCEAN BOX,3,40,0,3,4,5
node16,Steampunk Animals,3,40,0,3,4,5
node5,CatBricks,2,40,0,3,2,5
node31,Solana Koala - RUG,2,40,0,3,3,5
node36,Long Ween Club,3,40,0,3,4,5
node33,Apes on Dragons,1,40,0,3,1,5
node14,Battle Zombies,3,40,0,3,4,5
node3,Gaikotsu Demons,2,40,0,3,3,5
node23,solcapys,2,40,0,3,2,5
node26,Cannababy Society,3,40,0,3,4,5
node33,Mountain Lionz,3,40,0,3,4,5
node33,AI Motion Art,2,40,0,3,3,5
node18,SolNFTPad,3,40,0,3,4,5
node17,Solez,3,40,0,3,5,5
